"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","CC","GO:0022626","cytosolic ribosome",61,-0.69414866217247,-3.62199293947773,1e-10,2.4525e-07,2.26263157894737e-07,735,"tags=93%, list=28%, signal=69%","FAU/RPL36/RPS23/RPL9/RPL24/RPL35A/RPL18A/RPL35/RPS5/RPS3/RPS27/RPS24/RPL7A/RPL39/RPS14/RPS25/RPL13/RPS21/RACK1/RPL36A/RPL34/RPS27A/RPS7/RPL23A/RPL31/RPL3/RPL7/UBA52/RPL21/RPL17/RPL22/RPS8/RPL37/RPS11/RPS3A/RPL15/RPLP2/RPS6/RPL5/RPL38/RPL27/RPL10A/RPSA/RPS17/RPS2/RPL23/ISG15/RPS20/RPS29/RPL37A/RPS16/RPL27A/RPL6/RPL4/RPL13A/RPS10/RPS4Y1"
"2","BP","GO:0002181","cytoplasmic translation",86,-0.523357427643687,-2.94211284176901,1e-10,2.4525e-07,2.26263157894737e-07,782,"tags=77%, list=30%, signal=56%","FAU/RPL36/RPS23/RPL9/RPL24/RPL35A/RPL18A/RPL35/RPS5/EIF3H/RPS3/RPS27/RPS24/RPL7A/PABPC1/RPL39/RPS14/EIF4A1/EIF4A2/RPS25/RPL13/RPS21/EIF4B/RACK1/EIF3F/RPL36A/RPL34/RPS27A/EIF3D/EIF2D/EIF3E/RPS7/RPL23A/EIF3A/RPL31/RPL3/RPL7/UBA52/RPL21/RPL17/RPL22/RPS8/RPL37/RPS11/RPS3A/RPL15/RPLP2/RPS6/RPL5/RPL38/RPL27/RPL10A/RPSA/RPS17/RPS2/RPL23/RPS20/RPS29/RPL37A/EIF3L/RPS16/RPL27A/RPL6/RPL4/RPL13A/RPS10"
"3","CC","GO:0022625","cytosolic large ribosomal subunit",34,-0.677561509402897,-2.95882657663369,2.84207342975081e-09,4.64679005764258e-06,4.28704339456096e-06,730,"tags=94%, list=28%, signal=69%","RPL36/RPL9/RPL24/RPL35A/RPL18A/RPL35/RPL7A/RPL39/RPL13/RPL36A/RPL34/RPL23A/RPL31/RPL3/RPL7/UBA52/RPL21/RPL17/RPL22/RPL37/RPL15/RPLP2/RPL5/RPL38/RPL27/RPL10A/RPL23/RPL37A/RPL27A/RPL6/RPL4/RPL13A"
"4","BP","GO:0051607","defense response to virus",72,-0.524817003314311,-2.81611056271942,5.11304196081283e-09,5.01589416355738e-06,4.62757208200723e-06,576,"tags=56%, list=22%, signal=45%","TRIM28/PHB2/ZNFX1/DHX15/IFI16/SAMHD1/BIRC3/C1QBP/ADAR/NOP53/DDIT4/TANK/TRIM5/IFITM1/IFIH1/ANKRD17/STAT2/TRIM44/DDX60L/OAS2/IRF9/ISG15/BST2/DTX3L/DDX60/NLRC5/IFI6/TRIM56/RTP4/GBP3/TRIM21/PARP9/TRIM22/IRF1/IFIT2/IFIT3/IFI44L/GBP1/STAT1/IL1B"
"5","BP","GO:0140546","defense response to symbiont",72,-0.524817003314311,-2.81611056271942,5.11304196081283e-09,5.01589416355738e-06,4.62757208200723e-06,576,"tags=56%, list=22%, signal=45%","TRIM28/PHB2/ZNFX1/DHX15/IFI16/SAMHD1/BIRC3/C1QBP/ADAR/NOP53/DDIT4/TANK/TRIM5/IFITM1/IFIH1/ANKRD17/STAT2/TRIM44/DDX60L/OAS2/IRF9/ISG15/BST2/DTX3L/DDX60/NLRC5/IFI6/TRIM56/RTP4/GBP3/TRIM21/PARP9/TRIM22/IRF1/IFIT2/IFIT3/IFI44L/GBP1/STAT1/IL1B"
"6","CC","GO:0022627","cytosolic small ribosomal subunit",28,-0.700572659816524,-2.93337011222335,7.95840569200959e-09,6.50599665321784e-06,6.00231334560513e-06,760,"tags=93%, list=29%, signal=67%","FAU/RPS23/RPS5/RPS3/RPS27/RPS24/RPS14/RPS25/RPS21/RACK1/RPS27A/RPS7/UBA52/RPS8/RPS11/RPS3A/RPS6/RPSA/RPS17/RPS2/ISG15/RPS20/RPS29/RPS16/RPS10/RPS4Y1"
"7","BP","GO:0009615","response to virus",100,-0.447121969959831,-2.63430145604251,1.16119262937045e-08,8.13664263866009e-06,7.50671746415575e-06,576,"tags=47%, list=22%, signal=38%","TRIM28/PHB2/ZNFX1/DHX15/IFI16/SAMHD1/EEF1G/BIRC3/C1QBP/ADAR/NOP53/DDIT4/TANK/TRIM5/IFITM1/CCT5/IFIH1/NMI/BANF1/ANKRD17/TPT1/STAT2/TRIM44/DDX60L/OAS2/JAK2/IRF9/ISG15/BST2/NPC2/DTX3L/DDX60/NLRC5/IFI6/TRIM56/RTP4/GBP3/TRIM21/PARP9/TRIM22/IRF1/IFIT2/IFIT3/IFI44L/GBP1/STAT1/IL1B"
"8","MF","GO:0003735","structural constituent of ribosome",84,-0.481151299152742,-2.66978934374234,1.3461568703763e-08,8.25362431149466e-06,7.61464261282592e-06,735,"tags=69%, list=28%, signal=52%","FAU/RPL36/RPS23/RPL9/RPL24/RPL35A/RPL18A/RPL35/RPS5/RPS3/RPS27/RPS24/RPL7A/RPL39/RPS14/RPS25/RPL13/RPS21/RPL36A/RPL34/RPS27A/RPS7/RPL23A/RPL31/MRPS33/RPL3/RPL7/MRPS25/UBA52/RPL21/RPL17/RPL22/RPS8/RPL37/RPS11/RPS3A/RPL15/RPLP2/RPS6/RPL5/RPL38/RPL27/RPL10A/RPSA/RPS17/RPS2/RPL23/ISG15/RPS20/RPS29/RPL37A/RPS16/RPL27A/RPL6/RPL4/RPL13A/RPS10/RPS4Y1"
"9","CC","GO:0044391","ribosomal subunit",88,-0.466681217260194,-2.6340897986054,1.80328031818649e-08,9.82787773411637e-06,9.06701998582892e-06,735,"tags=68%, list=28%, signal=51%","FAU/RPL36/RPS23/RPL9/RPL24/RPL35A/RPL18A/RPL35/RPS5/RPS3/RPS27/RPS24/RPL7A/RPL39/RPS14/RPS25/RPL13/RPS21/RACK1/RPL36A/RPL34/RPS27A/RPS7/RPL23A/RPL31/MRPS33/RPL3/RPL7/MRPS25/UBA52/RPL21/RPL17/RPL22/RPS8/MRPS27/RPL37/RPS11/RPS3A/RPL15/RPLP2/RPS6/RPL5/RPL38/RPL27/RPL10A/RPSA/RPS17/RPS2/RPL23/ISG15/RPS20/RPS29/RPL37A/RPS16/RPL27A/RPL6/RPL4/RPL13A/RPS10/RPS4Y1"
"10","BP","GO:0071346","cellular response to interferon-gamma",32,-0.662123289716413,-2.89052079635993,3.92975917025579e-08,1.92754687301047e-05,1.77831943925575e-05,91,"tags=38%, list=3%, signal=37%","RPL13A/NLRC5/TP53/GBP3/PARP14/PARP9/GBP2/IRF1/GBP4/GBP1/STAT1/GBP5"
