"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","hsa05171","Coronavirus disease - COVID-19",105,-0.507000697566783,-2.67954295058769,6.28351457016579e-10,1.59601270082211e-07,1.21040333298983e-07,567,"tags=50%, list=12%, signal=45%","6139/4599/6129/5599/6233/7297/6160/6122/6885/6138/4600/5293/7311/23118/6125/6144/3921/6146/834/5578/6194/6202/6128/6167/4939/4736/6218/6181/103/6205/6155/6169/9349/6187/6189/6168/6217/9636/6224/6124/6157/6235/23521/6204/6773/64135/10379/100529239/6192/6772/3576/3553"
"2","hsa03010","Ribosome",87,-0.491326321698222,-2.49688535488034,9.72342409383802e-08,1.23487485991743e-05,9.36519267985452e-06,567,"tags=43%, list=12%, signal=38%","6227/6164/6208/6139/6129/6233/6160/6122/6138/7311/6125/6144/3921/6146/6194/6202/6128/6167/4736/6218/6181/6205/6155/6169/9349/6187/6189/6168/6217/6224/6124/6157/6235/23521/6204/100529239/6192"
"3","hsa05168","Herpes simplex virus 1 infection",129,-0.428332219800596,-2.34665322443997,4.88545940469351e-07,4.13635562930717e-05,3.13697919669794e-05,532,"tags=27%, list=11%, signal=25%","6885/7700/5293/7581/23118/10308/3665/56242/8764/3134/836/4939/7644/163227/163131/147657/972/5451/330/6891/7767/6892/440515/7157/81856/6890/94039/684/6773/64135/10379/355/6772/3135/3553"
"4","hsa04621","NOD-like receptor signaling pathway",78,-0.470503762612402,-2.30361453722381,6.25420479545067e-06,0.000397142004511118,0.000301189336201967,329,"tags=21%, list=7%, signal=19%","4939/79792/10010/330/837/114769/6773/10379/2635/2634/115361/2633/115362/6772/3576/3553"
"5","hsa04940","Type I diabetes mellitus",11,-0.814297574166029,-2.34194992311743,8.98802566215063e-06,0.000456591703637252,0.000346275514983909,56,"tags=36%, list=1%, signal=36%","3134/355/3135/3553"
"6","hsa05164","Influenza A",70,-0.44896450162477,-2.14323513042762,5.56059226745824e-05,0.00235398405989065,0.00178524278060501,418,"tags=26%, list=9%, signal=24%","4600/5293/834/3841/5578/3665/23633/836/4939/103/7706/6773/64135/10379/355/6772/3576/3553"
"7","hsa04024","cAMP signaling pathway",51,0.535395176213616,2.17908171331421,0.000114952531321749,0.0041711347079606,0.00316335537321504,922,"tags=41%, list=20%, signal=34%","2353/3725/5732/2778/5595/135/5605/572/387/489/5880/801/5970/5879/207/113/5144/2771/5566/84876/5295"
"8","hsa04928","Parathyroid hormone synthesis, secretion and action",34,0.582738519817675,2.14515898648796,0.000225309607296498,0.0071535800316638,0.00542521817569199,890,"tags=44%, list=19%, signal=36%","2353/6446/3727/2778/5595/409/9368/5579/387/2625/113/5144/2771/5566/9138"
"9","hsa04926","Relaxin signaling pathway",43,0.536424817926424,2.10158499226692,0.000263342758187056,0.00743211784216802,0.00563645903488085,1074,"tags=44%, list=23%, signal=34%","2353/3725/7423/2778/5595/54331/7422/409/5605/5970/207/113/2771/5566/3845/5295/2783/468/4792"
"10","hsa05231","Choline metabolism in cancer",41,0.531999588346747,2.05380878584218,0.000305513985832808,0.00776005524015333,0.00588516414814778,1059,"tags=46%, list=22%, signal=36%","2353/3725/5595/1978/6199/8526/5900/5605/5579/56261/5880/5879/207/8525/3845/5295/8527/10163/57153"
"11","hsa05210","Colorectal cancer",50,0.505420914204199,2.04546985284858,0.000435791716679358,0.00922425800304642,0.00699560387301075,938,"tags=40%, list=20%, signal=32%","2353/3725/27113/5595/6199/4609/5900/5605/572/387/5880/8312/5879/581/207/3845/6932/51176/5295/4292"
"12","hsa04210","Apoptosis",59,0.485868850312817,2.04386070853577,0.000419557161698512,0.00922425800304642,0.00699560387301075,589,"tags=25%, list=12%, signal=23%","2353/3725/7846/1649/824/27113/5595/7277/1509/5605/572/5970/581/207/84790"
"13","hsa05207","Chemical carcinogenesis - receptor activation",58,0.474657827946119,1.99797414032195,0.000761906999397856,0.0148864906036196,0.0112897960234662,811,"tags=34%, list=17%, signal=29%","2353/3725/2778/5595/7422/1978/6199/409/4609/5605/572/5579/5970/7184/207/113/10728/2771/5566/3845"
"14","hsa05031","Amphetamine addiction",20,0.629860847297212,2.00208555974364,0.00146133648931802,0.0247452978857851,0.0187666370207156,106,"tags=15%, list=2%, signal=15%","2353/3725/2778"
"15","hsa04622","RIG-I-like receptor signaling pathway",31,-0.508495907890444,-1.94301376978086,0.00145415566292244,0.0247452978857851,0.0187666370207156,797,"tags=39%, list=17%, signal=32%","1540/7187/57169/5599/6885/3665/103/10010/7706/9636/64135/3576"
"16","hsa04713","Circadian entrainment",21,0.613337303097538,1.98243884002683,0.00222057046987307,0.0317051323128911,0.0240449200715253,799,"tags=48%, list=17%, signal=40%","2353/2778/5595/54331/5187/5579/801/113/2771/5566"
"17","hsa04662","B cell receptor signaling pathway",38,0.526457075403585,1.98156055919754,0.00217018415545392,0.0317051323128911,0.0240449200715253,588,"tags=26%, list=12%, signal=23%","2353/3725/973/5595/5605/5579/5880/5970/5879/207"
"18","hsa04915","Estrogen signaling pathway",39,0.515763121388033,1.95552151954444,0.00224682040012614,0.0317051323128911,0.0240449200715253,811,"tags=36%, list=17%, signal=30%","2353/3725/2778/5914/5595/1509/5605/801/7184/207/113/2771/5566/3845"
"19","hsa05032","Morphine addiction",18,0.618071944608404,1.92375716895223,0.00293106252692529,0.0383474312699461,0.0290823867484465,950,"tags=67%, list=20%, signal=53%","156/2778/54331/2870/409/5579/2869/113/5144/2771/5566/2783"
"20","hsa01522","Endocrine resistance",39,0.505824358773375,1.91783859231555,0.00301948277716111,0.0383474312699461,0.0290823867484465,811,"tags=33%, list=17%, signal=28%","2353/3725/2778/5595/6199/5605/572/1031/581/207/113/5566/3845"
"21","hsa04060","Cytokine-cytokine receptor interaction",36,-0.475646702762768,-1.86582914587377,0.00383637209452144,0.0464018339051641,0.0351907816189185,56,"tags=14%, list=1%, signal=14%","9235/355/10673/3576/3553"
"22","hsa04921","Oxytocin signaling pathway",45,0.466415223733379,1.84351011686205,0.00410630317397408,0.0474091366449734,0.0359547120017826,811,"tags=29%, list=17%, signal=24%","2353/3725/2778/5595/5605/5579/387/801/2002/113/2771/5566/3845"
"23","hsa05418","Fluid shear stress and atherosclerosis",44,0.460890672230512,1.80908856204941,0.00452357947961241,0.0499560516444153,0.037886272071811,653,"tags=30%, list=14%, signal=26%","2353/1843/3725/7422/8878/387/5880/801/5970/5879/7184/207/1535"
